City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Bluff,NZ,-46.6,168.3333,45.9,88,48,8.86,scattered clouds
1,Mezen,RU,65.8522,44.24,27.39,71,19,9.35,few clouds
2,Rikitea,PF,-23.1203,-134.9692,74.57,88,91,16.33,overcast clouds
3,Punta Arenas,CL,-53.15,-70.9167,66.31,30,0,19.57,clear sky
4,Hithadhoo,MV,-0.6,73.0833,81.63,75,96,12.24,overcast clouds
5,Bredasdorp,ZA,-34.5322,20.0403,61.21,75,0,5.61,clear sky
6,Tasiilaq,GL,65.6145,-37.6368,44.76,58,100,28.19,overcast clouds
7,Whitianga,NZ,-36.8333,175.7,55.54,83,15,4.9,few clouds
8,Yellowknife,CA,62.456,-114.3525,26.56,92,71,4.0,broken clouds
9,Georgetown,MY,5.4112,100.3354,80.24,93,40,0.0,light rain
10,Dunedin,NZ,-45.8742,170.5036,48.79,76,100,4.0,overcast clouds
11,Avarua,CK,-21.2078,-159.775,73.45,68,40,8.05,scattered clouds
12,Coxim,BR,-18.5067,-54.76,96.12,30,100,11.56,overcast clouds
13,New Norfolk,AU,-42.7826,147.0587,52.72,90,100,1.68,moderate rain
14,Saint-Philippe,RE,-21.3585,55.7679,71.19,85,79,14.23,light rain
15,Hobart,AU,-42.8794,147.3294,53.06,97,40,1.14,moderate rain
16,Kaitangata,NZ,-46.2817,169.8464,48.09,83,86,8.79,overcast clouds
17,Rongcheng,CN,30.634,117.8517,54.12,60,100,4.27,overcast clouds
18,Jamestown,US,42.097,-79.2353,38.79,78,100,13.8,light snow
19,Oga,IT,46.4631,10.347,41.68,93,45,5.12,scattered clouds
20,Cape Town,ZA,-33.9258,18.4232,67.08,60,20,10.36,few clouds
21,Iqaluit,CA,63.7506,-68.5145,26.33,74,100,5.75,light snow
22,Upata,VE,8.0086,-62.3989,82.51,73,94,3.8,overcast clouds
23,Thompson,CA,55.7435,-97.8558,10.56,92,75,4.61,broken clouds
24,Kibakwe,TZ,-6.7167,36.3667,72.21,43,32,4.88,scattered clouds
25,Bluefields,NI,12.0137,-83.7635,82.47,83,75,6.91,broken clouds
26,Chuy,UY,-33.6971,-53.4616,71.1,82,100,13.29,moderate rain
27,Dikson,RU,73.5069,80.5464,-7.29,100,78,7.78,broken clouds
28,Touros,BR,-5.1989,-35.4608,83.16,67,52,14.0,broken clouds
29,Hirtshals,DK,57.5881,9.9592,51.76,90,99,8.43,overcast clouds
30,Sangar,RU,63.9242,127.4739,-25.17,100,99,1.14,overcast clouds
31,Mangaluru,IN,12.8667,74.8833,81.46,78,40,0.0,scattered clouds
