"City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed"
"0,Natal,BR,2021-04-18 00:11:29,-5.795,-35.2094,78.8,89,75,3.44"
"1,Hof,DE,2021-04-18 00:14:40,50.3167,11.9167,37.99,93,100,4.0"
"2,Port Alfred,ZA,2021-04-18 00:12:30,-33.5906,26.891,65.28,60,34,12.5"
"3,Hluti,SZ,2021-04-18 00:14:41,-27.2167,31.6167,51.1,87,40,3.51"
"4,Khromtau,KZ,2021-04-18 00:14:41,50.2503,58.4347,48.22,76,29,8.9"
"5,Busselton,AU,2021-04-18 00:12:44,-33.65,115.3333,62.28,69,0,7.07"
"6,Arinos,BR,2021-04-18 00:14:41,-15.9169,-46.1056,70.97,56,35,2.53"
"7,Hambantota,LK,2021-04-18 00:14:42,6.1241,81.1185,77.18,85,99,14.45"
"8,Ribeira Grande,PT,2021-04-18 00:08:03,38.5167,-28.7,62.11,91,39,13.18"
"9,Rikitea,PF,2021-04-18 00:12:25,-23.1203,-134.9692,77.58,66,63,5.03"
"10,Constitucion,CL,2021-04-18 00:12:46,-35.3333,-72.4167,55.85,88,83,3.65"
"11,Punta Arenas,CL,2021-04-18 00:12:43,-53.15,-70.9167,53.6,54,75,9.22"
"12,Port Elizabeth,ZA,2021-04-18 00:12:23,-33.918,25.5701,51.8,93,0,3.44"
"13,East London,ZA,2021-04-18 00:12:32,-33.0153,27.9116,64.04,67,88,12.08"
"14,Ushuaia,AR,2021-04-18 00:11:34,-54.8,-68.3,53.6,54,40,9.22"
"15,Mataura,NZ,2021-04-18 00:12:52,-46.1927,168.8643,55.99,82,98,5.01"
"16,Doha,QA,2021-04-18 00:12:11,25.2867,51.5333,78.8,22,0,6.91"
"17,Carupano,VE,2021-04-18 00:14:43,10.6678,-63.2585,77.58,81,57,10.96"
"18,Redmond,US,2021-04-18 00:14:43,47.674,-122.1215,80.01,26,0,5.61"
"19,Yerbogachen,RU,2021-04-18 00:13:54,61.2767,108.0108,8.19,79,48,11.92"
"20,Polva,EE,2021-04-18 00:14:44,58.0603,27.0694,44.01,49,61,5.75"
"21,Shingu,JP,2021-04-18 00:14:44,33.7333,135.9833,53.6,58,20,17.27"
"22,Virginia Beach,US,2021-04-18 00:12:11,36.8529,-75.978,55.99,62,90,8.05"
"23,Merauke,ID,2021-04-18 00:13:58,-8.4667,140.3333,76.41,94,100,3.94"
"24,Albany,US,2021-04-18 00:10:18,42.6001,-73.9662,46.99,73,99,3.85"
"25,Coronado,US,2021-04-18 00:12:19,32.6859,-117.1831,69.01,67,20,9.22"
"26,Imeni Poliny Osipenko,RU,2021-04-18 00:12:16,52.4201,136.4853,42.49,77,42,7.92"
"27,Hermanus,ZA,2021-04-18 00:12:43,-34.4187,19.2345,69.01,34,0,7.09"
"28,Olinda,BR,2021-04-18 00:14:45,-8.0089,-34.8553,75.2,88,75,3.44"
"29,Grindavik,IS,2021-04-18 00:14:35,63.8424,-22.4338,35.6,80,75,21.85"
"30,Alta Floresta,BR,2021-04-18 00:13:03,-9.8756,-56.0861,71.15,95,99,3.58"
"31,Torbay,CA,2021-04-18 00:14:28,47.6666,-52.7314,35.01,100,90,13.8"
"32,George,ZA,2021-04-18 00:14:46,-33.963,22.4617,55.4,71,0,2.3"
"33,Saskylakh,RU,2021-04-18 00:13:19,71.9167,114.0833,7.21,93,100,12.33"
"34,Klaksvik,FO,2021-04-18 00:13:09,62.2266,-6.589,46.4,81,100,26.46"
"35,Arraial Do Cabo,BR,2021-04-18 00:13:02,-22.9661,-42.0278,77.0,83,40,18.41"
"36,Khani,GE,2021-04-18 00:14:46,41.9563,42.9566,57.2,88,90,11.5"
"37,Salalah,OM,2021-04-18 00:12:44,17.0151,54.0924,77.0,50,0,4.61"
"38,Mahebourg,MU,2021-04-18 00:14:10,-20.4081,57.7,75.2,94,75,5.75"
"39,Takaungu,KE,2021-04-18 00:14:47,-3.6837,39.8566,77.52,86,56,12.39"
"40,Dikson,RU,2021-04-18 00:13:01,73.5069,80.5464,-16.02,100,44,2.68"
"41,Bluff,NZ,2021-04-18 00:12:30,-46.6,168.3333,55.99,82,91,5.01"
"42,Miranda,CO,2021-04-18 00:14:48,3.2499,-76.2281,75.2,73,40,9.22"
"43,Tasiilaq,GL,2021-04-18 00:12:34,65.6145,-37.6368,23.0,86,90,2.24"
"44,Saldanha,ZA,2021-04-18 00:12:06,-33.0117,17.9442,66.2,34,0,8.41"
"45,Caravelas,BR,2021-04-18 00:14:48,-17.7125,-39.2481,74.07,73,85,6.11"
"46,Pacific Grove,US,2021-04-18 00:13:34,36.6177,-121.9166,57.2,72,75,10.36"
"47,Vaini,TO,2021-04-18 00:12:33,-21.2,-175.2,80.6,69,20,5.75"
"48,Carnarvon,AU,2021-04-18 00:14:20,-24.8667,113.6333,77.14,55,4,3.67"
"49,Barrow,US,2021-04-18 00:10:11,71.2906,-156.7887,32.0,74,1,13.8"
"50,Geraldton,AU,2021-04-18 00:13:07,-28.7667,114.6,68.0,40,54,5.75"
"51,Port Macquarie,AU,2021-04-18 00:14:24,-31.4333,152.9167,66.99,68,76,1.99"
"52,Hobart,AU,2021-04-18 00:12:31,-42.8794,147.3294,62.01,58,75,10.36"
"53,Kaeo,NZ,2021-04-18 00:14:49,-35.1,173.7833,69.01,54,31,5.01"
"54,Nishihara,JP,2021-04-18 00:14:50,26.1842,127.7558,68.0,55,40,19.57"
"55,Tomohon,ID,2021-04-18 00:14:50,1.3346,124.8392,84.2,74,20,3.44"
"56,Cherskiy,RU,2021-04-18 00:12:52,68.75,161.3,27.3,69,16,28.48"
"57,Sombrerete,MX,2021-04-18 00:14:50,23.6333,-103.65,72.41,7,65,22.73"
"58,Siauliai,LT,2021-04-18 00:14:51,55.9333,23.3167,46.4,66,23,5.75"
"59,Tambura,SS,2021-04-18 00:14:51,5.6,27.4667,75.11,58,94,4.85"
"60,Avarua,CK,2021-04-18 00:10:16,-21.2078,-159.775,82.4,69,40,9.22"
"61,Arboletes,CO,2021-04-18 00:14:52,8.8505,-76.4269,81.27,76,38,6.82"
"62,Hay River,CA,2021-04-18 00:14:07,60.8156,-115.7999,42.8,49,75,6.91"
"63,Ilulissat,GL,2021-04-18 00:14:10,69.2167,-51.1,8.6,66,90,16.11"
"64,Kathmandu,NP,2021-04-18 00:11:10,27.7167,85.3167,53.6,87,20,2.3"
"65,Puerto Ayora,EC,2021-04-18 00:12:36,-0.7393,-90.3518,77.0,94,92,3.0"
"66,Gunjur,GM,2021-04-18 00:14:52,13.2019,-16.7339,71.6,78,0,10.36"
"67,Miles City,US,2021-04-18 00:14:53,46.4083,-105.8406,57.2,19,1,11.5"
"68,Komsomolskiy,UZ,2021-04-18 00:14:53,40.4272,71.7189,55.4,58,99,2.98"
"69,Kavieng,PG,2021-04-18 00:13:18,-2.5744,150.7967,82.92,76,71,10.87"
"70,Leh,IN,2021-04-18 00:14:53,34.1667,77.5833,34.21,83,96,6.11"
"71,Lons-Le-Saunier,FR,2021-04-18 00:14:53,46.75,5.75,42.8,61,0,6.91"
"72,Saint-Philippe,RE,2021-04-18 00:11:11,-21.3585,55.7679,75.2,94,90,8.05"
"73,Atuona,PF,2021-04-18 00:12:43,-9.8,-139.0333,80.64,74,50,19.3"
"74,Mandali,IQ,2021-04-18 00:14:54,33.7499,45.5541,73.72,28,0,10.25"
"75,Wagga Wagga,AU,2021-04-18 00:14:54,-35.1167,147.3667,57.99,62,0,1.14"
"76,Hanstholm,DK,2021-04-18 00:14:55,57.1167,8.6167,43.0,60,82,11.45"
"77,Yellowknife,CA,2021-04-18 00:12:48,62.456,-114.3525,35.6,64,75,10.36"
"78,Richards Bay,ZA,2021-04-18 00:14:55,-28.783,32.0377,59.9,77,1,8.52"
"79,Victoria,HK,2021-04-18 00:11:39,22.2855,114.1577,75.99,59,94,24.76"
"80,Sibolga,ID,2021-04-18 00:14:56,1.7427,98.7792,75.43,83,56,3.51"
"81,Big Bend,SZ,2021-04-18 00:14:56,-26.8167,31.9333,44.6,49,10,5.75"
"82,Urumqi,CN,2021-04-18 00:14:57,43.801,87.6005,57.2,41,0,6.71"
"83,Port Lincoln,AU,2021-04-18 00:14:36,-34.7333,135.8667,62.4,61,20,5.57"
"84,Hede,CN,2021-04-18 00:14:57,33.7681,120.2517,55.4,38,11,2.17"
"85,Kamenka,RU,2021-04-18 00:14:57,51.3223,42.7678,42.1,87,1,3.78"
"86,New Norfolk,AU,2021-04-18 00:12:32,-42.7826,147.0587,62.01,77,100,5.01"
"87,Bud,US,2021-04-18 00:13:28,39.447,-86.1758,55.99,41,1,10.36"
"88,Laguna,US,2021-04-18 00:14:58,38.421,-121.4238,87.8,7,1,14.97"
"89,Severo-Kurilsk,RU,2021-04-18 00:12:37,50.6789,156.125,38.12,62,100,7.4"
"90,Faanui,PF,2021-04-18 00:12:32,-16.4833,-151.75,82.35,73,79,8.72"
"91,Potsdam,DE,2021-04-18 00:13:28,52.3989,13.0657,45.0,84,69,4.16"
"92,Bethel,US,2021-04-18 00:14:16,41.3712,-73.414,48.0,65,96,2.95"
"93,Upernavik,GL,2021-04-18 00:10:11,72.7868,-56.1549,5.7,88,100,6.73"
"94,Simplicio Mendes,BR,2021-04-18 00:14:59,-7.8539,-41.9103,71.69,92,100,3.36"
"95,Najran,SA,2021-04-18 00:14:59,17.4924,44.1277,69.8,32,40,4.27"
"96,Longyearbyen,SJ,2021-04-18 00:13:39,78.2186,15.6401,32.0,69,75,3.44"
"97,Khatanga,RU,2021-04-18 00:11:13,71.9667,102.5,-0.87,95,100,12.62"
"98,Georgetown,MY,2021-04-18 00:12:38,5.4112,100.3354,80.01,89,20,5.75"
