"City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description"
"0,Huicheng,CN,23.0385,116.2899,69.8,60,0,2.24,clear sky"
"1,Brae,GB,60.3964,-1.353,44.6,87,100,12.66,overcast clouds"
"2,Urumqi,CN,43.801,87.6005,60.8,39,0,11.18,clear sky"
"3,Vaini,TO,-21.2,-175.2,80.6,78,40,9.22,scattered clouds"
"4,Paamiut,GL,61.994,-49.6678,27.43,75,100,12.84,light snow"
"5,Rikitea,PF,-23.1203,-134.9692,77.92,75,11,6.91,few clouds"
"6,Ozernovskiy,RU,51.5,156.5167,37.49,80,100,17.29,overcast clouds"
"7,Atuona,PF,-9.8,-139.0333,80.28,79,18,18.79,few clouds"
"8,Esperance,AU,-33.8667,121.9,59.0,82,67,8.05,broken clouds"
"9,Walvis Bay,NA,-22.9575,14.5053,86.0,41,25,8.99,scattered clouds"
"10,Castro,BR,-24.7911,-50.0119,56.37,98,7,5.26,clear sky"
"11,Tateyama,JP,34.9833,139.8667,62.6,51,0,10.36,clear sky"
"12,New Norfolk,AU,-42.7826,147.0587,63.0,74,100,1.99,overcast clouds"
"13,Qasigiannguit,GL,68.8193,-51.1922,12.2,52,19,14.97,few clouds"
"14,Bluff,NZ,-46.6,168.3333,63.0,73,65,3.0,broken clouds"
"15,Barrow,US,71.2906,-156.7887,26.6,80,1,11.5,clear sky"
"16,Jamestown,US,42.097,-79.2353,48.0,71,90,11.5,overcast clouds"
"17,Saint-Philippe,RE,-21.3585,55.7679,77.0,83,90,11.5,overcast clouds"
"18,Albany,US,42.6001,-73.9662,51.8,58,90,6.91,overcast clouds"
"19,Cabo Rojo,PR,18.0866,-67.1457,81.0,86,32,1.01,scattered clouds"
"20,Mataura,NZ,-46.1927,168.8643,63.0,73,67,3.0,broken clouds"
"21,Stepnyak,KZ,52.8339,70.7803,20.98,55,7,14.65,clear sky"
"22,Punta Arenas,CL,-53.15,-70.9167,48.2,81,0,9.22,clear sky"
"23,Lagoa,PT,39.05,-27.9833,60.67,85,100,10.8,overcast clouds"
"24,Arraial Do Cabo,BR,-22.9661,-42.0278,75.2,94,75,6.91,broken clouds"
"25,Khandyga,RU,62.6667,135.6,25.34,94,100,6.55,snow"
"26,Sept-Iles,CA,50.2001,-66.3821,39.99,81,75,2.3,broken clouds"
"27,Novaya Igirma,RU,57.1334,103.9112,31.87,59,3,7.56,clear sky"
"28,Cherskiy,RU,68.75,161.3,22.53,80,59,16.6,broken clouds"
"29,Tazovskiy,RU,67.4667,78.7,-9.53,97,50,10.54,scattered clouds"
"30,Tinskoy,RU,56.1525,96.9161,32.67,82,100,9.37,light snow"
"31,Nadym,RU,65.5333,72.5167,-5.04,97,31,9.82,scattered clouds"
"32,Ushuaia,AR,-54.8,-68.3,53.6,66,40,9.22,scattered clouds"
"33,Shanghai,CN,31.2222,121.4581,63.0,51,0,11.18,clear sky"
"34,Hermanus,ZA,-34.4187,19.2345,64.99,91,100,11.1,light rain"
"35,Qaanaaq,GL,77.484,-69.3632,3.09,78,99,4.92,overcast clouds"
"36,Naze,JP,28.3667,129.4833,68.0,56,75,16.11,broken clouds"
"37,Geraldton,AU,-28.7667,114.6,66.2,55,0,14.97,clear sky"
"38,Ribeira Grande,PT,38.5167,-28.7,61.59,83,82,7.34,broken clouds"
"39,Dikson,RU,73.5069,80.5464,-8.88,100,100,6.91,overcast clouds"
"40,Bereda,ES,43.2686,-7.5406,53.01,88,100,3.0,overcast clouds"
"41,Qaqortoq,GL,60.7167,-46.0333,28.4,34,90,5.75,overcast clouds"
"42,Yar-Sale,RU,66.8333,70.8333,-2.45,99,91,7.47,overcast clouds"
"43,Grand Gaube,MU,-20.0064,57.6608,78.01,82,21,5.01,few clouds"
"44,Yellowknife,CA,62.456,-114.3525,41.0,48,20,10.36,few clouds"
"45,Hasaki,JP,35.7333,140.8333,61.0,31,0,20.71,clear sky"
"46,Raga,SS,8.4596,25.678,79.45,46,99,5.44,overcast clouds"
"47,Kapaa,US,22.0752,-159.319,78.8,61,40,13.8,scattered clouds"
"48,Cabo San Lucas,MX,22.8909,-109.9124,77.0,53,1,9.22,clear sky"
"49,Meulaboh,ID,4.1363,96.1285,76.64,86,100,1.92,overcast clouds"
"50,Viedma,AR,-40.8135,-62.9967,68.13,77,64,12.86,broken clouds"
"51,Patrocinio,BR,-18.9439,-46.9925,68.0,83,20,4.61,few clouds"
"52,Eldorado,BR,-23.7869,-54.2836,71.22,59,11,3.29,few clouds"
"53,Port Elizabeth,ZA,-33.918,25.5701,71.6,35,0,18.41,clear sky"
"54,Mafinga,TZ,-7.25,35.0667,62.55,86,7,3.31,clear sky"
"55,Bredasdorp,ZA,-34.5322,20.0403,66.2,82,98,6.91,light rain"
"56,Busselton,AU,-33.65,115.3333,60.01,89,100,10.25,overcast clouds"
"57,Abalak,RU,58.1286,68.5944,17.82,53,9,8.37,clear sky"
"58,Puerto Ayora,EC,-0.7393,-90.3518,77.0,96,100,5.01,overcast clouds"
"59,Hobart,AU,-42.8794,147.3294,63.0,48,75,19.57,broken clouds"
"60,Hami,CN,42.8,93.45,60.78,26,80,14.16,broken clouds"
"61,Tasiilaq,GL,65.6145,-37.6368,17.6,67,0,4.61,clear sky"
"62,Cape Town,ZA,-33.9258,18.4232,68.0,94,0,14.97,clear sky"
"63,Hithadhoo,MV,-0.6,73.0833,82.51,65,68,7.63,broken clouds"
"64,Fare,PF,-16.7,-151.0167,82.42,71,0,11.27,clear sky"
"65,Kodiak,US,57.79,-152.4072,50.0,66,75,18.41,broken clouds"
"66,Sabang,ID,5.8933,95.3214,82.76,74,100,15.39,overcast clouds"
"67,Provideniya,RU,64.3833,-173.3,30.2,69,0,6.71,clear sky"
